Cust#,Customer Name,State,AE#,Gross Demand#,Gross Demand$,Gross Shipped$,Gross Shipped Countt,Discount$,Discount%,Net_Shipped$,GP%,mean_price
17567,EARTH FARE MGMT CO #100,NC,10.00,4.00,21.60,21.60,4.00,10.80,0.50,10.80,0.08,2.70
17568,EARTH FARE MGMT CO #130,NC,10.00,4.00,21.60,21.60,4.00,10.80,0.50,10.80,0.07,2.70
17569,EARTH FARE MGMT CO #770,NC,11.00,4.00,21.60,21.60,4.00,10.80,0.50,10.80,0.07,2.70
N05608,Country Life Employees,NY,21.00,3.00,16.20,16.20,3.00,8.04,0.50,8.16,0.09,2.72
16157,PALMA CEIA VILLAGE HM,FL,15.00,25.00,135.00,135.00,25.00,58.32,0.43,76.68,0.19,3.07
17545,FOOD FOR THOUGHT,FL,15.00,9.00,48.60,48.60,9.00,20.52,0.42,28.08,0.20,3.12
C03590,MARTHA'S HLTH FDS & HERBS,OK,6.00,1.00,5.40,5.40,1.00,1.89,0.35,3.51,0.30,3.51
C04391,SALEM HEALTH FOODS-,OR,2.00,1.00,5.40,5.40,1.00,1.89,0.35,3.51,0.30,3.51
17370,WELLNESS NUTRITION GP LLC,MD,11.00,2.00,10.80,10.80,2.00,3.78,0.35,7.02,0.30,3.51
14222,"M & M VITAMINS, LLC",FL,16.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
14833,FOOD & THOUGHT,FL,16.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
15403,FAIRBORN NATURAL FOODS,OH,9.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
15609,THE VITAMIN HOUSE,NJ,17.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
15902,PEGGY'S WF'S COFFEE CAFE,FL,16.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
17152,EAZYPOINT LLC,FL,16.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
17477,GREENS NATURAL FDS INC 5,NY,13.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
17551,SNOHOMISH APOTHECARY & WE,WA,1.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.29,3.51
C03038,STAY HEALTHY,NV,5.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
C03472,ACCENT ON HEALTH,CA,4.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.29,3.51
C10874,VITAMINS PLUS #251,TX,6.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
C11372,ELLIOTT'S NAT FDS- FOLSOM,CA,3.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
N00391,ARBOR FARMS,MI,9.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
N05054,UNCLE SAMS,NY,14.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
N06675,GRAINS & GREENS,MI,9.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.28,3.51
N06711,SUE'S SUPER NUTRITION,VA,11.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
N09108,BETTER HEALTH # 10,MI,9.00,3.00,16.20,16.20,3.00,5.67,0.35,10.53,0.30,3.51
15270,NATURAL GREEN MARKET,NY,13.00,4.00,21.60,21.60,4.00,7.56,0.35,14.04,0.30,3.51
14001,HAMPTON NATURAL FOODS,NH,14.00,6.00,32.40,32.40,6.00,11.34,0.35,21.06,0.30,3.51
C00423,FRAZIER FARMS VISTA,CA,4.00,6.00,32.40,32.40,6.00,11.34,0.35,21.06,0.29,3.51
N07754,SUPER VITAMIN OUTLET,FL,15.00,6.00,32.40,32.40,6.00,11.34,0.35,21.06,0.30,3.51
N03883,WESTERLY HEALTH FOODS,NY,13.00,36.00,194.40,194.40,36.00,68.04,0.35,126.36,0.29,3.51
N01314,HARMONY FARMS,NC,10.00,29.00,156.60,156.60,29.00,51.57,0.33,105.03,0.31,3.62
N05653,NANCY'S NATURAL FOODS,FL,15.00,10.00,53.60,53.60,10.00,17.18,0.32,36.42,0.32,3.64
13950,SIMPLY GOOD NATURAL FOODS,NC,10.00,8.00,43.20,43.20,8.00,14.04,0.33,29.16,0.32,3.65
N01926,HEALTH HAVEN,VA,11.00,8.00,43.20,43.20,8.00,14.04,0.33,29.16,0.32,3.65
N12073,B-ALIVE,WI,7.00,12.00,64.80,64.80,12.00,21.06,0.33,43.74,0.32,3.65
14530,2 J'S NATURAL FOODS,MT,2.00,13.00,70.20,70.20,13.00,22.68,0.32,47.52,0.32,3.66
17559,SHEMRAN INC DBA,CA,4.00,10.00,54.00,54.00,10.00,17.28,0.32,36.72,0.32,3.67
N01519,BEEHIVE NATURAL FOODS,FL,16.00,9.00,48.60,48.60,9.00,15.39,0.32,33.21,0.32,3.69
N02444,EDGE OF WOODS,CT,17.00,18.00,97.20,97.20,18.00,30.78,0.32,66.42,0.33,3.69
17322,DETWILERS OPERATIONS INC,FL,15.00,20.00,108.00,108.00,20.00,34.02,0.32,73.98,0.33,3.70
N12375,LOVEY'S NATURAL FOODS,NC,10.00,10.00,54.00,54.00,10.00,16.74,0.31,37.26,0.34,3.73
15117,COMMUNITY FOOD CO-OP,WA,1.00,56.00,298.40,298.40,56.00,88.98,0.30,209.42,0.34,3.74
N00828,NATURES FOOD PATCH,FL,15.00,24.00,129.60,129.60,24.00,39.69,0.31,89.91,0.34,3.75
16654,OLIVER'S MKT (MONTECITO),CA,3.00,9.00,48.60,48.60,9.00,14.85,0.31,33.75,0.34,3.75
16873,WILLIAMSON ST GROC COOP,WI,7.00,21.00,113.40,113.40,21.00,34.56,0.30,78.84,0.34,3.75
16589,SEWARD COMMUNITY COOP,MN,7.00,34.00,183.60,183.60,34.00,55.62,0.30,127.98,0.34,3.76
C11171,Sprouts Farmers Market,AZ,51.00,6524.00,35203.00,35019.40,6490.00,10499.27,0.30,24520.13,0.34,3.78
16568,OLIVER'S MKT (STONY PT),CA,3.00,1.00,5.40,5.40,1.00,1.62,0.30,3.78,0.35,3.78
17395,DM ROCKVILLE LLC,MD,11.00,1.00,5.40,5.40,1.00,1.62,0.30,3.78,0.35,3.78
C03623,GreenAcres Market - OKC,OK,6.00,1.00,5.40,5.40,1.00,1.62,0.30,3.78,0.34,3.78
C08580,SONSHINE NUTRITION,CA,3.00,1.00,5.40,5.40,1.00,1.62,0.30,3.78,0.34,3.78
N02421,GOOD HEALTH NATURAL FOODS,MA,14.00,1.00,5.40,5.40,1.00,1.62,0.30,3.78,0.35,3.78
13790,VITAL LIVING,CO,5.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
14385,HIGHLAND HEALTH FOODS,IL,8.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.34,3.78
16617,BAY NATURALS,SC,10.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
17078,CRAVE HEALTHY HABITS LLC,AZ,5.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.34,3.78
17151,MTN MAN NUTRITION,NC,10.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
C01412,"TRIHEALTH, INC.",TX,6.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.34,3.78
C08465,WHOLE IN THE WALL HERB SH,CO,5.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
N01977,"WALSH NATURAL HEALTH, LLC",IL,8.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
N01984,LIFE SPRING,IL,8.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.35,3.78
N04842,VITAMIN COMPANY,MI,9.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.34,3.78
N06232,"SUPER VIT OUTLET, INC.",FL,15.00,2.00,10.80,10.80,2.00,3.24,0.30,7.56,0.34,3.78
15811,JUNGLE JIM'S INTL MKT,OH,9.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
15860,DEANS NATURAL FOOD MKT,NJ,17.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
16660,FOOD MATTERS MARKET,NC,10.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.34,3.78
16795,OLIVER'S MKT (WINDSOR),CA,3.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
17435,CENTRAL COOP,WA,1.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
C03498,LASSENS NTRL FDS VENTURA,CA,4.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.34,3.78
C10412,GreenAcres Market - Lawton,OK,6.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.34,3.78
N02433,NATURAL HEALTH CENTER,MI,9.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
N05744,JEFF'S HEALTH & NUTRITION,FL,16.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.34,3.78
N07058,SECOND NATURE,PA,12.00,3.00,16.20,16.20,3.00,4.86,0.30,11.34,0.35,3.78
14207,"GreenAcres Market - Kansas City, MO",MO,6.00,4.00,21.60,21.60,4.00,6.48,0.30,15.12,0.34,3.78
17156,BRISTOL FARMS #14,CA,4.00,4.00,21.60,21.60,4.00,6.48,0.30,15.12,0.35,3.78
C09031,NEW LEAF COMMUNITY MKT #3,CA,3.00,4.00,21.60,21.60,4.00,6.48,0.30,15.12,0.35,3.78
N01316,FREY'S BETTER FOODS,PA,12.00,4.00,21.60,21.60,4.00,6.48,0.30,15.12,0.34,3.78
N09186,PASS HEALTH FOODS,IL,8.00,4.00,21.60,21.60,4.00,6.48,0.30,15.12,0.18,3.78
14912,GOODNESS GROCERY,GA,10.00,5.00,27.00,27.00,5.00,8.10,0.30,18.90,0.35,3.78
14873,VITAMIN CITY (SAN DIMAS),CA,4.00,6.00,32.40,32.40,6.00,9.72,0.30,22.68,0.35,3.78
C03516,WILD RIVERS MARKET,CA,3.00,6.00,32.40,32.40,6.00,9.72,0.30,22.68,0.35,3.78
C09160,GOOD EARTH,UT,5.00,6.00,32.40,32.40,6.00,9.72,0.30,22.68,0.35,3.78
16000,GULF COAST NUTRITION CTR,FL,15.00,8.00,43.20,43.20,8.00,12.96,0.30,30.24,0.35,3.78
17510,FRIENDLY CITY FOOD COOP,VA,11.00,8.00,43.20,43.20,8.00,12.96,0.30,30.24,0.35,3.78
C00071,NATURE'S OASIS,CO,5.00,8.00,43.20,43.20,8.00,12.96,0.30,30.24,0.34,3.78
14323,ESSENCE OF HEALTH,PA,12.00,10.00,54.00,54.00,10.00,16.20,0.30,37.80,0.34,3.78
17414,NEW LEAF COMMUNITY MARKET,CA,3.00,11.00,59.40,59.40,11.00,17.82,0.30,41.58,0.35,3.78
C10565,NEW SEASONS @ SELLWOOD,OR,2.00,11.00,59.40,59.40,11.00,17.82,0.30,41.58,0.35,3.78
13066,NEW SEASONS @ CONCORDIA,OR,2.00,12.00,64.80,64.80,12.00,19.44,0.30,45.36,0.34,3.78
16317,SEEDS & GREENS MKT LLC,IN,8.00,12.00,64.80,64.80,12.00,19.44,0.30,45.36,0.34,3.78
16998,NATURES PICK MKT,GA,10.00,12.00,64.80,64.80,12.00,19.44,0.30,45.36,0.35,3.78
15883,FOOD CONSPIRACY CO-OP,AZ,5.00,16.00,86.40,86.40,16.00,25.92,0.30,60.48,0.34,3.78
17401,ISLAND NATURALS KONA INC,HI,1.00,16.00,86.40,86.40,16.00,25.92,0.30,60.48,0.35,3.78
16305,NEW SEASONS - NYBERG RIV.,OR,2.00,19.00,102.60,102.60,19.00,30.78,0.30,71.82,0.35,3.78
14502,NEW SEASONS - HPY VALLEY,OR,2.00,22.00,118.80,118.80,22.00,35.64,0.30,83.16,0.35,3.78
C08911,HENRY'S MARKET,CA,4.00,24.00,129.60,129.60,24.00,38.88,0.30,90.72,0.34,3.78
C04298,HENRY'S MARKET,CA,4.00,32.00,172.80,172.80,32.00,51.84,0.30,120.96,0.35,3.78
16482,My Medi Mart,NY,4H,840.00,4536.00,4536.00,840.00,1360.80,0.30,3175.20,0.34,3.78
N02126,THE HEALTHY SHOPPER,MO,8.00,7.00,37.80,37.80,7.00,11.34,0.30,26.46,0.34,3.78
15250,A MATTER OF HEALTH,NY,13.00,9.00,48.60,48.60,9.00,14.58,0.30,34.02,0.34,3.78
17434,DETWILERS FARM MKT III,FL,15.00,13.00,70.20,70.20,13.00,21.06,0.30,49.14,0.29,3.78
C11366,FIRST ALTERNTVE CO-OP (N),OR,2.00,15.00,81.00,81.00,15.00,24.30,0.30,56.70,0.35,3.78
17380,CHUCK'S PRODUCE SALMON CK,WA,1.00,30.00,162.00,162.00,30.00,48.60,0.30,113.40,0.34,3.78
16672,"Green Living, LLC",MD,4H,648.00,3499.20,3499.20,648.00,1049.76,0.30,2449.44,0.34,3.78
C11292,"S & B GROCERY, INC.",CA,4.00,8.00,43.20,43.20,8.00,12.74,0.29,30.46,0.35,3.81
C03273,RAINBOW GROCERY COOP,CA,3.00,15.00,80.40,80.40,15.00,23.28,0.29,57.12,0.35,3.81
C05274,SKAGIT VALLEY FOOD CO-OP,WA,1.00,15.00,81.00,81.00,15.00,23.81,0.29,57.19,0.35,3.81
N07449,ABBY'S HEALTH FOODS,FL,15.00,18.00,97.20,97.20,18.00,28.18,0.29,69.02,0.35,3.83
17532,BRONXVILLE NATURAL DBA,NY,13.00,14.00,75.60,75.60,14.00,21.87,0.29,53.73,0.31,3.84
C04143,CENTRAL COOP (SEATTLE),WA,1.00,30.00,162.00,162.00,30.00,46.71,0.29,115.29,0.36,3.84
C03902,MARLENE'S MARKET & DELI,WA,1.00,12.00,64.80,64.80,12.00,18.63,0.29,46.17,0.35,3.85
N08134,HARVEST HEALTH FOODS,MI,9.00,12.00,64.80,64.80,12.00,18.63,0.29,46.17,0.36,3.85
13064,NEW SEASONS @ ORENCO,OR,2.00,16.00,86.40,86.40,16.00,24.84,0.29,61.56,0.36,3.85
14521,GOOD HEALTH NUTRITION CTR,WA,1.00,14.00,75.60,75.60,14.00,21.60,0.29,54.00,0.36,3.86
17400,MERISAI HEALTH & NUTRI,WA,1.00,12.00,64.60,64.60,12.00,18.30,0.28,46.30,0.36,3.86
13068,NEW SEASONS @ R. HILLS,OR,2.00,23.00,123.80,123.80,23.00,34.98,0.28,88.82,0.36,3.86
16306,NEW SEASONS - GRANT PARK,OR,2.00,27.00,145.20,145.20,27.00,40.86,0.28,104.34,0.36,3.86
15932,MONADNOCK FOOD CO-OP,NH,14.00,22.00,118.80,118.80,22.00,33.75,0.28,85.05,0.36,3.87
C10943,GOOD EARTH,UT,5.00,15.00,81.00,81.00,15.00,23.00,0.28,58.00,0.36,3.87
N11461,NATURE'S PAVILLION,NJ,17.00,7.00,37.40,37.40,7.00,10.32,0.28,27.08,0.36,3.87
16066,LA MONTANITA - WEST SIDE,NM,5.00,3.00,16.20,16.20,3.00,4.59,0.28,11.61,0.36,3.87
N10987,THE VITAMIN STORE,LA,6.00,3.00,16.20,16.20,3.00,4.59,0.28,11.61,0.35,3.87
N04949,NATURE'S HARVEST,PA,12.00,12.00,64.80,64.80,12.00,18.36,0.28,46.44,0.36,3.87
16164,OUTPOST NATURAL FOODS,WI,7.00,14.00,75.60,75.60,14.00,21.38,0.28,54.22,0.36,3.87
N06505,PARKADE HEALTH SHOP,CT,17.00,11.00,59.40,59.40,11.00,16.74,0.28,42.66,0.36,3.88
15993,NEW SEASONS - WILLIAMS,OR,2.00,22.00,118.80,118.80,22.00,33.48,0.28,85.32,0.36,3.88
17075,EARTHLY NUTRITION,CA,3.00,8.00,43.20,43.20,8.00,12.15,0.28,31.05,0.36,3.88
C08690,MARLENE'S MARKET & DELI,WA,1.00,16.00,86.40,86.40,16.00,24.30,0.28,62.10,0.36,3.88
N03782,EVERYTHING NATURAL,PA,12.00,26.00,140.40,140.40,26.00,39.47,0.28,100.93,0.36,3.88
14533,GOOD EARTH,UT,5.00,18.00,96.80,96.80,18.00,26.88,0.28,69.92,0.36,3.88
15005,RUTABAGA'S ETC. INC,FL,15.00,10.00,54.00,54.00,10.00,15.12,0.28,38.88,0.36,3.89
N07175,RYE BEACH PHARMACY,NY,13.00,20.00,108.00,108.00,20.00,30.24,0.28,77.76,0.36,3.89
17348,BERKLEY BOWL PRODUCE INC.,CA,3.00,17.00,91.80,91.80,17.00,25.70,0.28,66.10,0.36,3.89
N08052,THE HERBAL PATH,NH,14.00,17.00,91.80,91.80,17.00,25.65,0.28,66.15,0.36,3.89
N11414,NORLAND AVENUE PHARMACY,PA,12.00,29.00,156.60,156.60,29.00,43.74,0.28,112.86,0.36,3.89
C01079,SACRAMENTO FOOD CO-OP,CA,3.00,53.00,286.20,286.20,53.00,79.81,0.28,206.39,0.37,3.89
N06007,ROLLIN OATS,FL,15.00,66.00,356.40,356.40,66.00,99.31,0.28,257.09,0.36,3.90
13660,TUNIES,FL,16.00,7.00,37.80,37.80,7.00,10.53,0.28,27.27,0.36,3.90
C10637,DOWN TO EARTH,HI,1.00,7.00,37.80,37.80,7.00,10.53,0.28,27.27,0.37,3.90
N04960,WHOLE EARTH CENTER,NJ,17.00,21.00,113.40,113.40,21.00,31.59,0.28,81.81,0.37,3.90
15800,MY ORGANIC MKT (FAIRFAX),VA,11.00,18.00,97.20,97.20,18.00,27.05,0.28,70.15,0.37,3.90
17186,ONION RIVER COOP INC,VT,14.00,55.00,297.00,297.00,55.00,82.62,0.28,214.38,0.35,3.90
16920,NEW SEASONS - MERCER ISL,WA,1.00,9.00,48.60,48.60,9.00,13.50,0.28,35.10,0.37,3.90
14184,NEW SEASONS - CEDAR HILLS,OR,2.00,18.00,97.20,97.20,18.00,27.00,0.28,70.20,0.37,3.90
C01575,BRIAR PATCH CO-OP,CA,3.00,39.00,210.00,210.00,39.00,57.87,0.28,152.13,0.36,3.90
16630,CIRCLE CREATIVE CONSULTIN,WA,1.00,3.00,16.00,16.00,3.00,4.27,0.27,11.73,0.37,3.91
C09211,SUNRISE NATURAL FOODS,CA,3.00,10.00,53.60,53.60,10.00,14.48,0.27,39.12,0.37,3.91
13242,NEW SEASONS @ CORNERS,OR,2.00,12.00,64.80,64.80,12.00,17.82,0.28,46.98,0.37,3.92
17375,CHUCKS PRODUCE PLUS LLC,WA,1.00,48.00,259.20,259.20,48.00,71.28,0.28,187.92,0.36,3.92
C04151,WORLD OF NUTRITION,ID,2.00,2.00,10.80,10.80,2.00,2.97,0.28,7.83,0.37,3.92
16596,ROSAUERS MKT #26 DBA,WA,2.00,8.00,43.20,43.20,8.00,11.88,0.28,31.32,0.37,3.92
C10620,Vitamin Cottage,CO,51.00,1976.00,10669.60,10653.40,1973.00,2912.29,0.27,7741.11,0.37,3.92
C05586,COMMUNITY FOOD CO-OP,WA,1.00,44.00,237.60,237.60,44.00,64.80,0.27,172.80,0.37,3.93
13619,ASHLAND SHOP N KART,OR,2.00,34.00,183.60,183.60,34.00,49.95,0.27,133.65,0.37,3.93
14738,BETTER HEALTH,MI,9.00,14.00,75.60,75.60,14.00,20.52,0.27,55.08,0.37,3.93
15575,NEW SEASONS - PROGRESS RG,OR,2.00,14.00,75.60,75.60,14.00,20.52,0.27,55.08,0.37,3.93
C04455,BOISE COOP,ID,2.00,28.00,151.20,151.20,28.00,41.04,0.27,110.16,0.37,3.93
N04482,GREENSTAR MARKET,NY,14.00,21.00,113.40,113.40,21.00,30.77,0.27,82.63,0.37,3.93
N05350,EVER'MAN NATURAL FD COOP,FL,15.00,15.00,81.00,81.00,15.00,21.92,0.27,59.08,0.37,3.94
15382,NUTRITION S'MART OF MIAMI,FL,OB,5.00,27.00,27.00,5.00,7.29,0.27,19.71,0.37,3.94
16555,MISSISSIPPI MKT COOP,MN,7.00,23.00,124.20,124.20,23.00,33.53,0.27,90.67,0.34,3.94
16893,NATURES LLC,PA,12.00,8.00,43.20,43.20,8.00,11.61,0.27,31.59,0.38,3.95
N04045,BETTER HEALTH #17,MI,9.00,8.00,43.20,43.20,8.00,11.61,0.27,31.59,0.37,3.95
C08133,NEW LEAF COMMUNITY MKT #2,CA,3.00,35.00,189.00,189.00,35.00,50.76,0.27,138.24,0.27,3.95
N03949,KIMBERTON WHOLE FDS (KT),PA,12.00,19.00,102.60,102.60,19.00,27.54,0.27,75.06,0.37,3.95
C05560,GOOD EARTH,UT,5.00,5.00,27.00,27.00,5.00,7.24,0.27,19.76,0.37,3.95
14592,NUGGET MARKET #9,CA,3.00,9.00,48.60,48.60,9.00,12.96,0.27,35.64,0.37,3.96
N08694,WILLNER CHEMISTS ATLANTA,GA,10.00,9.00,48.60,48.60,9.00,12.96,0.27,35.64,0.38,3.96
N03356,HEALTH FOODS UNLIMITED,OH,9.00,36.00,194.40,194.40,36.00,51.84,0.27,142.56,0.37,3.96
15735,KIMBERTON WHOLE FOODS(DT),PA,12.00,6.00,32.40,32.40,6.00,8.64,0.27,23.76,0.37,3.96
15736,KIMBERTON WHOLE FOODS(DV),PA,12.00,12.00,64.80,64.80,12.00,17.28,0.27,47.52,0.37,3.96
C04259,SUNRISE NATURAL FOODS,CA,3.00,12.00,64.80,64.80,12.00,17.28,0.27,47.52,0.06,3.96
15623,NEW SEASONS @ FISHERS LDG,WA,1.00,25.00,134.60,134.60,25.00,35.52,0.26,99.08,0.38,3.96
C04354,SUNFLOWER SHOPPE,TX,6.00,16.00,86.40,86.40,16.00,22.95,0.27,63.45,0.38,3.97
17157,HEALTH AUTHORITY,NY,14.00,39.00,210.60,210.60,39.00,55.89,0.27,154.71,0.37,3.97
15436,THE TURNIP TRUCK,TN,10.00,14.00,75.60,75.60,14.00,19.98,0.26,55.62,0.38,3.97
N09121,OUTPOST NATURAL FOODS,WI,7.00,21.00,113.40,113.40,21.00,29.97,0.26,83.43,0.38,3.97
N00321,ZERBO'S,MI,9.00,36.00,194.40,194.40,36.00,51.30,0.26,143.10,0.38,3.98
16253,BETTER HEALTH - SHELBY,MI,9.00,11.00,59.40,59.40,11.00,15.66,0.26,43.74,0.38,3.98
16602,BOISE COOP,ID,2.00,24.00,129.60,129.60,24.00,34.13,0.26,95.47,0.38,3.98
N08460,GOOD NUTRITION,GA,10.00,19.00,102.60,102.60,19.00,27.00,0.26,75.60,0.38,3.98
N04220,MUSTARD SEED MKT - AKRON,OH,9.00,31.00,167.40,167.40,31.00,44.01,0.26,123.39,0.38,3.98
16325,MORGANTON NATL FDS,NC,10.00,8.00,43.20,43.20,8.00,11.34,0.26,31.86,0.38,3.98
16471,NUTRITION S'MART,FL,15.00,8.00,43.20,43.20,8.00,11.34,0.26,31.86,0.38,3.98
N01272,BLACK FOREST ACRES,NJ,17.00,8.00,43.20,43.20,8.00,11.34,0.26,31.86,0.38,3.98
14272,NUGGET MARKET #7,CA,3.00,20.00,108.00,108.00,20.00,28.35,0.26,79.65,0.38,3.98
16673,HEALTHY LIVING MKT,NY,14.00,36.00,194.40,194.40,36.00,50.98,0.26,143.42,0.38,3.98
C09319,EDMONDS VITAMINS & HERBS,WA,1.00,23.00,124.20,124.20,23.00,32.57,0.26,91.63,0.38,3.98
16828,SIMPLY NUTRITION INC,CA,3.00,5.00,27.00,27.00,5.00,7.07,0.26,19.93,0.38,3.99
16281,MY ORGANIC MARKET (DC),DC,11.00,13.00,70.00,70.00,13.00,18.14,0.26,51.86,0.38,3.99
C05605,GOOD EARTH,UT,5.00,31.00,166.80,166.80,31.00,43.13,0.26,123.67,0.38,3.99
N02629,GEORGETOWN MARKET,IN,8.00,17.00,91.80,91.80,17.00,23.98,0.26,67.82,0.38,3.99
15872,BRISTOL FARMS #2080,CA,4.00,27.00,145.80,145.80,27.00,38.07,0.26,107.73,0.38,3.99
N05448,FRENCH BROAD CO-OP,NC,10.00,26.00,140.40,140.40,26.00,36.61,0.26,103.79,0.38,3.99
16476,MUSTARD SEED MKT - HIGHLAND,OH,9.00,10.00,54.00,54.00,10.00,14.04,0.26,39.96,0.38,4.00
16906,BRISTOL FARMS (ENCINITAS),CA,4.00,10.00,54.00,54.00,10.00,14.04,0.26,39.96,0.38,4.00
14200,MY ORGANIC MKT (JESSUP),MD,11.00,33.00,178.20,178.20,33.00,46.23,0.26,131.97,0.38,4.00
C04059,ASHLAND FOOD CO-OP,OR,2.00,33.00,178.20,178.20,33.00,46.17,0.26,132.03,0.38,4.00
N03922,ALL WAYS HEALTHY,IL,8.00,10.00,54.00,54.00,10.00,13.99,0.26,40.01,0.38,4.00
N05852,BRATTLEBORO FOOD COOP,VT,14.00,40.00,216.00,216.00,40.00,55.94,0.26,160.06,0.38,4.00
16487,MOMS ORGANIC MKT (ARLING),VA,11.00,26.00,140.40,140.40,26.00,36.22,0.26,104.18,0.38,4.01
14364,MY ORGANIC MARKET (FRDCK),MD,11.00,17.00,91.80,91.80,17.00,23.65,0.26,68.15,0.38,4.01
N04820,REIDS NUTRITION CENTER,FL,15.00,4.00,21.60,21.60,4.00,5.56,0.26,16.04,0.38,4.01
N11166,JUNGLE JIM'S MARKET INC.,OH,9.00,4.00,21.60,21.60,4.00,5.56,0.26,16.04,0.38,4.01
17378,BRISTOL FARMS-HERMOSABCH,CA,4.00,7.00,37.80,37.80,7.00,9.72,0.26,28.08,0.38,4.01
N07319,HENDERSONVILLE CO-OP,NC,10.00,14.00,75.60,75.60,14.00,19.44,0.26,56.16,0.38,4.01
N12487,NUTRITION DIRECT,FL,16.00,9.00,48.60,48.60,9.00,12.47,0.26,36.13,0.38,4.01
N05901,GreenAcres Market - Bradley Fair,KS,6.00,19.00,102.60,102.60,19.00,26.24,0.26,76.36,0.39,4.02
